"base_addr";0x30081420;"addr_bits";8;;
parameter;ACK_DLY=0;;;;
;;;;;
;;;;;
"module_name";"cam1_PipeCtrl";;;;
"sub_addr";"addr";"RW";"bits";"default (hex)";"description"
"0x00";1420;"RW";8;0;"0~15";
;;;"[7:0]";;"nISPMode[7:0]"
"0x01";1421;"RW";8;0;"0~15";
;;;"[7:0]";;"nAWBMode[7:0]"
"0x02";1422;"RW";8;0;"0~3";
;;;"[7:0]";;"nLFSMode[7:0]"
"0x04";1424;"RW";8;0;"0~1";
;;;"[7:0]";;"bFPNCEnable[7:0]"
"0x05";1425;"RW";8;0;"0~1";
;;;"[7:0]";;"bKPCEnable[7:0]"
"0x06";1426;"RW";8;0;"0~1";
;;;"[7:0]";;"pRGBIRCIPEnable[0][7:0]"
"0x07";1427;"RW";8;0;"0~1";
;;;"[7:0]";;"pRGBIRCIPEnable[1][7:0]"
"0x08";1428;"RW";8;0;"0~1";
;;;"[7:0]";;"pWGBEnable[0][7:0]"
"0x09";1429;"RW";8;0;"0~1";
;;;"[7:0]";;"pWGBEnable[1][7:0]"
"0x0a";142a;"RW";8;0;"0~1";
;;;"[7:0]";;"pWGBEnable[2][7:0]"
"0x0b";142b;"RW";8;0;"0~1";
;;;"[7:0]";;"pWGBEnable[3][7:0]"
"0x0c";142c;"RW";8;0;"0~1";
;;;"[7:0]";;"pLSCEnable[0][7:0]"
"0x0d";142d;"RW";8;0;"0~1";
;;;"[7:0]";;"pLSCEnable[1][7:0]"
"0x10";1430;"RW";8;0;"0~1";
;;;"[7:0]";;"pDPCEnable[0][7:0]"
"0x11";1431;"RW";8;0;"0~1";
;;;"[7:0]";;"pDPCEnable[1][7:0]"
"0x12";1432;"RW";8;0;"0~1";
;;;"[7:0]";;"pDPCEnable[2][7:0]"
"0x13";1433;"RW";8;0;"0~1";
;;;"[7:0]";;"pDPCEnable[3][7:0]"
"0x14";1434;"RW";8;0;"0~1";
;;;"[7:0]";;"pRAWDNSEnable[0][7:0]"
"0x15";1435;"RW";8;0;"0~1";
;;;"[7:0]";;"pRAWDNSEnable[1][7:0]"
"0x16";1436;"RW";8;0;"0~1";
;;;"[7:0]";;"pCIPEnable[0][7:0]"
"0x17";1437;"RW";8;0;"0~1";
;;;"[7:0]";;"pCIPEnable[1][7:0]"
"0x18";1438;"RW";8;0;"0~1";
;;;"[7:0]";;"pCIPEnable[2][7:0]"
"0x19";1439;"RW";8;0;"0~1";
;;;"[7:0]";;"pCIPEnable[3][7:0]"
"0x1a";143a;"RW";8;0;"0~1";
;;;"[7:0]";;"bPreCCMEnable[0][7:0]"
"0x1b";143b;"RW";8;0;"0~1";
;;;"[7:0]";;"bPreCCMEnable[1][7:0]"
"0x1c";143c;"RW";8;0;"0~1";
;;;"[7:0]";;"bAECUpdateEnable[7:0]"
"0x1d";143d;"RW";8;0;"0~1";
;;;"[7:0]";;"bAWBUpdateEnable[7:0]"
"0x1e";143e;"RW";8;0;"0~1";
;;;"[7:0]";;"bCombineEnable[7:0]"
"0x1f";143f;"RW";8;0;"0~1";
;;;"[7:0]";;"bTMEnable[7:0]"
"0x20";1440;"RW";8;0;"0~1";
;;;"[7:0]";;"bCurveEnable[0][7:0]"
"0x21";1441;"RW";8;0;"0~1";
;;;"[7:0]";;"bCurveEnable[1][7:0]"
"0x22";1442;"RW";8;0;"0~1";
;;;"[7:0]";;"bSdEnable[7:0]"
"0x23";1443;"RW";8;0;"0~1";
;;;"[7:0]";;"bYUVDNSEnable[7:0]"
"0x24";1444;"RW";8;0;"0~1";
;;;"[7:0]";;"bStereoEnable[7:0]"
"0x25";1445;"RW";8;0;"0~1";
;;;"[7:0]";;"bTempUpdateEnable[7:0]"
"0x27";1447;"RW";8;0;"0~7";
;;;"[7:0]";;"nPREMode[0][7:0]"
"0x28";1448;"RW";8;0;"0~7";
;;;"[7:0]";;"nPREMode[1][7:0]"
"0x29";1449;"RW";8;0;"0~7";
;;;"[7:0]";;"nPREMode[2][7:0]"
"0x2a";144a;"RW";8;0;"0~7";
;;;"[7:0]";;"nPREMode[3][7:0]"
"0x54";1474;"RW";8;0;"";
;;;"[7:0]";;"current B Gain[7:0]";
"0x55";1475;"RW";8;0;"";
;;;"[7:0]";;"current B Gain[15:8]";
"0x5A";147A;"RW";8;0;"";
;;;"[7:0]";;"current R Gain[7:0]";
"0x5B";147B;"RW";8;0;"";
;;;"[7:0]";;"current R Gain[15:8]";
"0x90";14b0;"RW";8;0;"";
;;;"[7:0]";;"current L Expo[7:0]";
"0x91";14b1;"RW";8;0;"";
;;;"[7:0]";;"current L Expo[15:8]";
"0x92";14b2;"RW";8;0;"";
;;;"[7:0]";;"current L Expo[23:16]";
"0x93";14b3;"RW";8;0;"";
;;;"[7:0]";;"current L Expo[31:24]";
"0x94";14b4;"RW";8;0;"";
;;;"[7:0]";;"current M Expo[7:0]";
"0x95";14b5;"RW";8;0;"";
;;;"[7:0]";;"current M Expo[15:8]";
"0x96";14b6;"RW";8;0;"";
;;;"[7:0]";;"current M Expo[23:16]";
"0x97";14b7;"RW";8;0;"";
;;;"[7:0]";;"current M Expo[31:24]";
"0x98";14b8;"RW";8;0;"";
;;;"[7:0]";;"current S Expo[7:0]";
"0x99";14b9;"RW";8;0;"";
;;;"[7:0]";;"current S Expo[15:8]";
"0x9A";14bA;"RW";8;0;"";
;;;"[7:0]";;"current S Expo[23:16]";
"0x9B";14bB;"RW";8;0;"";
;;;"[7:0]";;"current S Expo[31:24]";
"0x9C";14bC;"RW";8;0;"";
;;;"[7:0]";;"current LFS Expo[7:0]";
"0x9D";14bD;"RW";8;0;"";
;;;"[7:0]";;"current LFS Expo[15:8]";
"0x9E";14bE;"RW";8;0;"";
;;;"[7:0]";;"current LFS Expo[23:16]";
"0x9F";14bF;"RW";8;0;"";
;;;"[7:0]";;"current LFS Expo[31:24]";
"0xA0";14c0;"RO";8;0;"";0~65535
;;;"[7:0]";;"current L Gain[7:0]";
"0xA1";14c1;"RO";8;0;"";
;;;"[7:0]";;"current L Gain[15:8]";
"0xA2";14c2;"RO";8;0;"";0~65535
;;;"[7:0]";;"current M Gain[7:0]";
"0xA3";14c3;"RO";8;0;"";
;;;"[7:0]";;"current M Gain[15:8]";
"0xA4";14c4;"RO";8;0;"";0~65535
;;;"[7:0]";;"current S Gain[7:0]";
"0xA5";14c5;"RO";8;0;"";
;;;"[7:0]";;"current S Gain[15:8]";
"0xA6";14c6;"RO";8;0;"";0~65535
;;;"[7:0]";;"current LFS Gain[7:0]";
"0xA7";14c7;"RO";8;0;"";
;;;"[7:0]";;"current LFS Gain[15:8]";
"end";;;;;
