module_id,module_name,camera,base_addr,address,RW,bits,bit_mask,default_all,description,unique_name,origin_name,combine_name,target_bit_mask,RW,origin_bit_mask,default
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_rst_antipwl_m,r_rst_antipwl_m,r_rst_antipwl_m,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_rst_antidcg_m,r_rst_antidcg_m,r_rst_antidcg_m,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_rst_fpn_m,r_rst_fpn_m,r_rst_fpn_m,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_rst_kpc_m,r_rst_kpc_m,r_rst_kpc_m,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_antipwl_en_m,r_antipwl_en_m,r_antipwl_en_m,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_antidcg_en_m,r_antidcg_en_m,r_antidcg_en_m,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_fpn_en_m,r_fpn_en_m,r_fpn_en_m,0x00000001,RW,0x40,0x00
ISP,ISP,,0x31004000,0x31004000,RW,8,0xFF,0x00,,ISP_r_kpc_en_m,r_kpc_en_m,r_kpc_en_m,0x00000001,RW,0x80,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_rst_rgbir_m,r_rst_rgbir_m,r_rst_rgbir_m,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_rst_lenc_m,r_rst_lenc_m,r_rst_lenc_m,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_rst_yuvdns,r_rst_yuvdns,r_rst_yuvdns,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_rst_dpc65_m,r_rst_dpc65_m,r_rst_dpc65_m,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_rgbir_en_m,r_rgbir_en_m,r_rgbir_en_m,0x00000001,RW,0x10,0x10
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_lenc_en_m,r_lenc_en_m,r_lenc_en_m,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_yuvdns_en,r_yuvdns_en,r_yuvdns_en,0x00000001,RW,0x40,0x40
ISP,ISP,,0x31004000,0x31004001,RW,8,0xFF,0xD0,,ISP_r_dpc65_en_m,r_dpc65_en_m,r_dpc65_en_m,0x00000001,RW,0x80,0x80
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_rst_3ddns_m,r_rst_3ddns_m,r_rst_3ddns_m,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_rst_2ddns_m,r_rst_2ddns_m,r_rst_2ddns_m,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_rst_cip65_m,r_rst_cip65_m,r_rst_cip65_m,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_rst_mwb_m,r_rst_mwb_m,r_rst_mwb_m,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_3ddns_en_m,r_3ddns_en_m,r_3ddns_en_m,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_2ddns_en_m,r_2ddns_en_m,r_2ddns_en_m,0x00000001,RW,0x20,0x20
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_cip65_en_m,r_cip65_en_m,r_cip65_en_m,0x00000001,RW,0x40,0x40
ISP,ISP,,0x31004000,0x31004002,RW,8,0xFF,0xE0,,ISP_r_mwb_en_m,r_mwb_en_m,r_mwb_en_m,0x00000001,RW,0x80,0x80
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_rst_antipwl_l,r_rst_antipwl_l,r_rst_antipwl_l,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_rst_lenc_l,r_rst_lenc_l,r_rst_lenc_l,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_rst_mwb_l,r_rst_mwb_l,r_rst_mwb_l,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_rst_dpc60_l,r_rst_dpc60_l,r_rst_dpc60_l,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_antipwl_en_l,r_antipwl_en_l,r_antipwl_en_l,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_lenc_en_l,r_lenc_en_l,r_lenc_en_l,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_mwb_en_l,r_mwb_en_l,r_mwb_en_l,0x00000001,RW,0x40,0x40
ISP,ISP,,0x31004000,0x31004003,RW,8,0xFF,0xC0,,ISP_r_dpc60_en_l,r_dpc60_en_l,r_dpc60_en_l,0x00000001,RW,0x80,0x80
